Song,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Condition,Order
The Man,4.6500,4.5250,4.0500,4.1000,4.5750,2.4000,5.3500,Feminist,1.0000
Roar,5.0000,4.2750,4.1500,4.1500,5.2500,2.0500,4.3750,Feminist,2.0000
Not Ready To Make Nice,4.4474,4.2895,3.7105,3.2368,3.4737,2.8684,3.9737,Feminist,3.0000
Stronger,4.9487,4.2308,4.2308,4.2821,5.2308,2.2308,4.5897,Feminist,4.0000
You Don't Own Me,5.5278,5.0556,4.5278,5.2500,5.9722,1.6944,4.0833,Feminist,5.0000
Ladies' First,4.7368,3.6579,4.2368,4.0263,4.4211,2.3684,5.2105,Feminist,6.0000
Good Ol Boys Club,4.3243,3.8108,3.7838,4.1081,4.5676,2.9189,4.2703,Feminist,7.0000
Keep Ya Head Up,4.3243,3.8108,3.7838,4.1081,4.5676,2.9189,4.2703,Feminist,8.0000
Grown Woman,5.5135,4.5676,4.6216,4.5135,5.8108,1.7297,5.3784,Feminist,9.0000
Venom,5.1579,4.0000,4.2632,4.1053,4.6579,2.1579,5.8158,Feminist,10.0000
The Lucky One,4.7500,4.5556,4.0833,3.5000,4.3611,2.2778,3.4167,Neutral,11.0000
Last Friday Night,5.0556,4.8611,4.0833,4.3611,4.0833,2.2778,3.0278,Neutral,12.0000
Wide Open,4.8718,4.7949,4.3846,4.2564,4.5641,2.0769,3.5641,Neutral,13.0000
Work Bitch,3.7778,4.3056,4.1111,3.1667,3.9722,3.0833,3.3333,Neutral,14.0000
The Party's Over,4.0500,4.1250,4.0250,3.1250,3.9750,3.0250,3.5500,Neutral,15.0000
Dentrimentally Stable,4.7188,4.8125,4.4063,3.6875,4.2813,2.3438,3.3438,Neutral,16.0000
Rainbow,5.0000,4.7188,4.1875,3.9688,4.4375,2.3750,2.7500,Neutral,17.0000
Ghetto Gospel,5.5588,5.0294,4.2647,4.4706,4.5882,2.0294,2.7059,Neutral,18.0000
Schoolin' Life,4.6316,4.9211,4.1842,3.3421,5.1579,2.2105,3.4474,Neutral,19.0000
Introvert,4.5000,3.9688,3.9688,3.1563,3.2188,3.0625,3.1563,Neutral,20.0000
