ResponseID,question,response
R_3dH4pPzuv0PuiNl,age,2
R_3dH4pPzuv0PuiNl,gender,0
R_3dH4pPzuv0PuiNl,whereareyoufrom,1
R_3dH4pPzuv0PuiNl,timelisteningtomusic,3
R_3dH4pPzuv0PuiNl,genderrep,1
R_3dH4pPzuv0PuiNl,idealgenderrep,7
R_3dH4pPzuv0PuiNl,menrep,2
R_3dH4pPzuv0PuiNl,womenrep,5
R_3dH4pPzuv0PuiNl,lyrics,6
R_3dH4pPzuv0PuiNl,misogynistlyrics,6
R_3dH4pPzuv0PuiNl,feministlyrics,6
R_3dH4pPzuv0PuiNl,genderrepimportant,7
R_3dH4pPzuv0PuiNl,politicallyrics,5
R_3dH4pPzuv0PuiNl,FemNeu,1
R_3dH4pPzuv0PuiNl,Q1,6.4
R_3dH4pPzuv0PuiNl,Q2,5
R_3dH4pPzuv0PuiNl,Q3,4.4
R_3dH4pPzuv0PuiNl,Q4,6
R_3dH4pPzuv0PuiNl,Q5,6
R_3dH4pPzuv0PuiNl,Q6,1.2
R_3dH4pPzuv0PuiNl,Q7,6.2
R_3dH4pPzuv0PuiNl,Strongeer,4.428571429
R_3dH4pPzuv0PuiNl,YouDont_om,5.285714286
R_3dH4pPzuv0PuiNl,GoodOl_BC,4.714285714
R_3dH4pPzuv0PuiNl,KeepYa_HU,5.285714286
R_3dH4pPzuv0PuiNl,Grown_woman,5.428571429
R_3I04XQg6DNFiUnx,age,2
R_3I04XQg6DNFiUnx,gender,0
R_3I04XQg6DNFiUnx,whereareyoufrom,1
R_3I04XQg6DNFiUnx,timelisteningtomusic,3
R_3I04XQg6DNFiUnx,genderrep,3
R_3I04XQg6DNFiUnx,idealgenderrep,6
R_3I04XQg6DNFiUnx,menrep,3
R_3I04XQg6DNFiUnx,womenrep,5
R_3I04XQg6DNFiUnx,lyrics,4
R_3I04XQg6DNFiUnx,misogynistlyrics,6
R_3I04XQg6DNFiUnx,feministlyrics,4
R_3I04XQg6DNFiUnx,genderrepimportant,5
R_3I04XQg6DNFiUnx,politicallyrics,3
R_3I04XQg6DNFiUnx,FemNeu,0
R_3I04XQg6DNFiUnx,Q1,5
R_3I04XQg6DNFiUnx,Q2,5
R_3I04XQg6DNFiUnx,Q3,4
R_3I04XQg6DNFiUnx,Q4,3.4
R_3I04XQg6DNFiUnx,Q5,4.6
R_3I04XQg6DNFiUnx,Q6,2.4
R_3I04XQg6DNFiUnx,Q7,3.4
R_3I04XQg6DNFiUnx,WideOpen_spaces,3.714285714
R_3I04XQg6DNFiUnx,Work_bitch,3.285714286
R_3I04XQg6DNFiUnx,Rainbow,4
R_3I04XQg6DNFiUnx,Ghetto_gospel,4.714285714
R_3I04XQg6DNFiUnx,Introvert,4.142857143
R_1mPGG8XbxejBzME,age,2
R_1mPGG8XbxejBzME,gender,0
R_1mPGG8XbxejBzME,whereareyoufrom,1
R_1mPGG8XbxejBzME,timelisteningtomusic,2
R_1mPGG8XbxejBzME,genderrep,3
R_1mPGG8XbxejBzME,idealgenderrep,7
R_1mPGG8XbxejBzME,menrep,1
R_1mPGG8XbxejBzME,womenrep,5
R_1mPGG8XbxejBzME,lyrics,6
R_1mPGG8XbxejBzME,misogynistlyrics,4
R_1mPGG8XbxejBzME,feministlyrics,6
R_1mPGG8XbxejBzME,genderrepimportant,6
R_1mPGG8XbxejBzME,politicallyrics,7
R_1mPGG8XbxejBzME,FemNeu,1
R_1mPGG8XbxejBzME,Q1,6.4
R_1mPGG8XbxejBzME,Q2,6
R_1mPGG8XbxejBzME,Q3,5.4
R_1mPGG8XbxejBzME,Q4,5.8
R_1mPGG8XbxejBzME,Q5,6.2
R_1mPGG8XbxejBzME,Q6,2.6
R_1mPGG8XbxejBzME,Q7,6.6
R_1mPGG8XbxejBzME,Roar,5.857142857
R_1mPGG8XbxejBzME,NotReady_TMN,5.428571429
R_1mPGG8XbxejBzME,YouDont_om,5.428571429
R_1mPGG8XbxejBzME,Ladies_first,5.857142857
