ResponseID,age,gender,whereareyoufrom,timelisteningtomusic,genderrep,idealgenderrep,menrep,womenrep,lyrics,misogynistlyrics,feministlyrics,genderrepimportant,politicallyrics,condition,Q1,Q2,Q3,Q4,Q5,Q6,Q7,The_man,Roar,NotReady_TMN,Strongeer,YouDont_om,Ladies_first,GoodOl_BC,KeepYa_HU,Grown_woman,Venom,TheLucky_one,LastFriday_night,WideOpen_spaces,Work_bitch,ThePartys_over,Detrim_stable,Rainbow,Ghetto_gospel,Schoolin_life,Introvert
R_3dH4pPzuv0PuiNl,2,Female,1,3,1,7,2,5,6,6,6,7,5,Feminist Condition,6.4,5,4.4,6,6,1.2,6.2,NA,NA,NA,4.428571429,5.285714286,NA,4.714285714,5.285714286,5.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3I04XQg6DNFiUnx,2,Female,1,3,3,6,3,5,4,6,4,5,3,Neutral Condition,5,5,4,3.4,4.6,2.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.714285714,3.285714286,NA,NA,4,4.714285714,NA,4.142857143
R_1mPGG8XbxejBzME,2,Female,1,2,3,7,1,5,6,4,6,6,7,Feminist Condition,6.4,6,5.4,5.8,6.2,2.6,6.6,NA,5.857142857,5.428571429,NA,5.428571429,5.857142857,NA,NA,NA,5.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1hytQLW9Et1qqdh,2,Male,1,3,2,7,1,2,5,7,1,6,3,Feminist Condition,5.6,4.4,2.2,2.8,5,1.8,4.4,NA,4,3,4.142857143,3.428571429,NA,NA,NA,4.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1Kj0rNWO49Q00C0,2,Female,1,2,4,2,1,1,6,6,3,1,6,Neutral Condition,1.6,4,3.6,1,2.8,3.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,3.142857143,NA,NA,2.857142857,2.857142857,NA,NA,2.857142857,NA
R_AGLR7HCixCkwPER,2,Female,1,2,6,7,2,2,5,1,1,2,2,Neutral Condition,4,3.2,4,4,3.6,2.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857143,NA,NA,NA,2.857142857,NA,NA,4,4.285714286,2.857142857
R_24cjfefYraLyZXx,2,Male,1,4,5,6,2,3,6,7,4,6,5,Neutral Condition,4.8,5.2,4.8,4.2,4.6,6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.857142857,4.428571429,NA,4.714285714,NA,4.857142857,NA,2.714285714
R_2q9kXvoWIAbCALf,2,Female,1,2,5,6,2,4,5,7,5,4,3,Neutral Condition,4.8,5.4,4,4,3.8,1.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857143,3.285714286,2.857142857,NA,4.571428571,4.142857143,NA,NA,NA
R_3DthmnAU1y4SSKi,2,Male,1,3,6,6,2,2,7,6,6,2,2,Feminist Condition,1.8,1.4,1.6,1.4,1.4,4.6,6.8,3.142857143,NA,NA,NA,NA,2.285714286,3.428571429,2.428571429,NA,2.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3Dw2RpOrwEui56c,2,Male,1,2,3,6,1,1,6,5,5,1,5,Neutral Condition,5.8,4.6,4.2,3.8,4.2,6,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285714286,4.142857143,NA,NA,3.857142857,NA,4.142857143,NA,4.571428571,NA
R_1hRb2MmMOHbNo3Y,2,Female,1,2,2,6,4,5,6,6,6,3,5,Feminist Condition,5.2,5.2,4,5.2,4.2,1.8,5.8,4.285714286,NA,3.428571429,NA,NA,3.857142857,NA,NA,5.285714286,5.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1HkoASBXXgaw1e4,2,Female,1,3,6,6,1,1,6,5,4,4,3,Neutral Condition,5.2,4.2,4.2,4,4.4,1.2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285714286,NA,3.714285714,NA,NA,3.857142857,4,NA,NA,3.857142857
